ChangeSpeed,,,,,,,,
L_Thign,L_calf,L_Foot,R_Thign,R_calf,R_Foot,Pelvis_x,Pelvis_y,Pelvis_z
-6.2,21.83,-19.49,-23.59,56.66,-11.81,-1.107086,3.184204,-29.56476
-6.2,21.83,-19.49,-23.59,56.66,-11.81,-1.107086,3.184204,-29.56476
-6.2,21.83,-19.49,-23.59,56.66,-11.81,-1.166595,3.101128,-29.24534
-6.2,21.83,-19.49,-23.59,56.66,-11.81,-1.166595,3.101128,-29.24534
-2.13,17.96,-19.44,-23.89,52.02,-14.81,-1.496796,3.336876,-28.85982
-2.13,17.96,-19.44,-23.89,52.02,-14.81,-1.496796,3.336876,-28.85982
-2.13,17.96,-19.44,-23.89,52.02,-14.81,-1.496796,3.336876,-28.85982
0,15.87,-18.97,-23.62,37.49,-8.92,-2.360504,3.748405,-29.15427
0,15.87,-18.97,-23.62,37.49,-8.92,-2.360504,3.748405,-29.15427
4.09,11.8,-18.67,-21.81,28.33,-1.57,-2.387024,3.587364,-29.70293
4.09,11.8,-18.67,-21.81,28.33,-1.57,-2.387024,3.587364,-29.70293
4.09,11.8,-18.67,-21.81,28.33,-1.57,-1.875214,2.98185,-29.47901
4.09,11.8,-18.67,-21.81,28.33,-1.57,-1.875214,2.98185,-29.47901
8.17,7.83,-17.03,-22.32,16.33,10.93,-1.915985,2.30822,-29.02138
8.17,7.83,-17.03,-22.32,16.33,10.93,-1.915985,2.30822,-29.02138
8.17,7.83,-17.03,-22.32,16.33,10.93,-2.542328,1.676537,-28.52744
8.17,7.83,-17.03,-22.32,16.33,10.93,-2.542328,1.676537,-28.52744
8.17,7.83,-17.03,-22.32,16.33,10.93,-2.542328,1.676537,-28.52744
8.17,7.83,-17.03,-22.32,16.33,10.93,-2.953186,1.29834,-28.09504
8.17,7.83,-17.03,-22.32,16.33,10.93,-2.953186,1.29834,-28.09504
8.9,9.99,-17.63,-24.62,17.13,-1.65,-2.340881,1.249458,-27.94353
8.9,9.99,-17.63,-24.62,17.13,-1.65,-2.340881,1.249458,-27.94353
6.19,16.78,-11.23,-23.89,27.61,-22.38,-1.121399,1.140793,-27.69582
6.19,16.78,-11.23,-23.89,27.61,-22.38,-1.121399,1.140793,-27.69582
6.19,16.78,-11.23,-23.89,27.61,-22.38,-0.5200195,0.9114075,-27.4764
6.19,16.78,-11.23,-23.89,27.61,-22.38,-0.5200195,0.9114075,-27.4764
3.91,24.25,-10.08,-21.06,28.34,-24.74,-0.2077026,0.7160797,-27.27681
3.91,24.25,-10.08,-21.06,28.34,-24.74,-0.2077026,0.7160797,-27.27681
3.91,24.25,-10.08,-21.06,28.34,-24.74,-0.2077026,0.7160797,-27.27681
-2.65,33.87,-6.03,-18.76,31.7,-28.19,-0.0369873,0.5144196,-27.17818
-2.65,33.87,-6.03,-18.76,31.7,-28.19,-0.0369873,0.5144196,-27.17818
-6.27,43.69,-0.23,-13.37,28.02,-26.83,0.1979216,0.5282288,-27.3083
-6.27,43.69,-0.23,-13.37,28.02,-26.83,0.1979216,0.5282288,-27.3083
-6.27,43.69,-0.23,-13.37,28.02,-26.83,0.4569976,1.240227,-27.52614
-6.27,43.69,-0.23,-13.37,28.02,-26.83,0.4569976,1.240227,-27.52614
-18.72,60.7,-10.25,-6.59,22.4,-19.65,0.585299,2.038788,-27.61075
-18.72,60.7,-10.25,-6.59,22.4,-19.65,0.585299,2.038788,-27.61075
-18.72,60.7,-10.25,-6.59,22.4,-19.65,0.585299,2.038788,-27.61075
-21.22,60.1,-13.06,-2.59,19.89,-20.61,0.4174204,2.489716,-27.52068
-21.22,60.1,-13.06,-2.59,19.89,-20.61,0.4174204,2.489716,-27.52068
-25.16,60.71,-16.24,-0.65,17.95,-19.71,0.1431353,2.652702,-27.60712
-25.16,60.71,-16.24,-0.65,17.95,-19.71,0.1431353,2.652702,-27.60712
-26.53,57.99,-19.21,1.19,16.71,-19.84,0.1008999,2.780708,-28.28851
-26.53,57.99,-19.21,1.19,16.71,-19.84,0.1008999,2.780708,-28.28851
-27.37,48.43,-23.49,4.52,13.42,-19.46,0.4349732,2.588379,-29.07339
-27.37,48.43,-23.49,4.52,13.42,-19.46,0.4349732,2.588379,-29.07339
-27.37,48.43,-23.49,4.52,13.42,-19.46,1.398994,2.565117,-29.55247
-27.37,48.43,-23.49,4.52,13.42,-19.46,1.398994,2.565117,-29.55247
-27.37,48.43,-23.49,4.52,13.42,-19.46,1.398994,2.565117,-29.55247
-27.31,36.08,-28.76,7.77,9.88,-18.19,2.511326,2.954704,-29.76559
-27.31,36.08,-28.76,7.77,9.88,-18.19,2.511326,2.954704,-29.76559
